Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM
2.ANT3i_CMCC64001	2.ANT3i_CMCC64001	80	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028734_SRR069170_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028734_SRR069170_2.fastq.gz	NA
2.ANT3j_H1959004	2.ANT3j_H1959004	81	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028679_SRR069115_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028679_SRR069115_2.fastq.gz	NA
2.ANT3k_5761	2.ANT3k_5761	82	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028659_SRR069095_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028659_SRR069095_2.fastq.gz	NA
2.ANT3l_735	2.ANT3l_735	83	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028667_SRR069103_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028667_SRR069103_2.fastq.gz	NA
2.MED1b_2506	2.MED1b_2506	84	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028664_SRR069100_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028664_SRR069100_2.fastq.gz	NA
2.MED1c_2654	2.MED1c_2654	85	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028665_SRR069101_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028665_SRR069101_2.fastq.gz	NA
2.MED1d_2504	2.MED1d_2504	86	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028663_SRR069099_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028663_SRR069099_2.fastq.gz	NA
2.MED2b_91	2.MED2b_91	87	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028694_SRR069130_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028694_SRR069130_2.fastq.gz	NA
2.MED2c_K11973002	2.MED2c_K11973002	88	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028730_SRR069166_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028730_SRR069166_2.fastq.gz	NA
2.MED2d_A1973001	2.MED2d_A1973001	89	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028673_SRR069109_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028673_SRR069109_2.fastq.gz	NA
2.MED2e_7338	2.MED2e_7338	90	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028686_SRR069122_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028686_SRR069122_2.fastq.gz	NA
2.MED3a_J1963002	2.MED3a_J1963002	91	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028738_SRR069174_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028738_SRR069174_2.fastq.gz	NA
2.MED3b_CMCC125002b	2.MED3b_CMCC125002b	92	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028715_SRR069151_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028715_SRR069151_2.fastq.gz	NA
2.MED3c_I1969003	2.MED3c_I1969003	93	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028716_SRR069152_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028716_SRR069152_2.fastq.gz	NA
2.MED3d_J1978002	2.MED3d_J1978002	94	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028713_SRR069149_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028713_SRR069149_2.fastq.gz	NA
2.MED3f_I1970005	2.MED3f_I1970005	95	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028755_SRR069191_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028755_SRR069191_2.fastq.gz	NA
2.MED3g_CMCC99103	2.MED3g_CMCC99103	96	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028756_SRR069192_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028756_SRR069192_2.fastq.gz	NA
2.MED3h_CMCC90027	2.MED3h_CMCC90027	97	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028747_SRR069183_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028747_SRR069183_2.fastq.gz	NA
2.MED3i_CMCC92004	2.MED3i_CMCC92004	98	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028749_SRR069185_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028749_SRR069185_2.fastq.gz	NA
2.MED3j_I2001001	2.MED3j_I2001001	99	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028718_SRR069154_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028718_SRR069154_2.fastq.gz	NA
2.MED3k_CMCC12003	2.MED3k_CMCC12003	100	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028709_SRR069145_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028709_SRR069145_2.fastq.gz	NA
2.MED3l_I1994006	2.MED3l_I1994006	101	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028710_SRR069146_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028710_SRR069146_2.fastq.gz	NA
2.MED3m_SHAN11	2.MED3m_SHAN11	102	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028770_SRR069206_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028770_SRR069206_2.fastq.gz	NA
2.MED3n_SHAN12	2.MED3n_SHAN12	103	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028771_SRR069207_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028771_SRR069207_2.fastq.gz	NA
2.MED3o_I1991001	2.MED3o_I1991001	104	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028657_SRR069093_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028657_SRR069093_2.fastq.gz	NA
2.MED3p_CMCC107004	2.MED3p_CMCC107004	105	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028705_SRR069141_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028705_SRR069141_2.fastq.gz	NA
3.ANT1a_7b	3.ANT1a_7b	106	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028689_SRR069125_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028689_SRR069125_2.fastq.gz	NA
3.ANT1b_CMCC71001	3.ANT1b_CMCC71001	107	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028737_SRR069173_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028737_SRR069173_2.fastq.gz	NA
3.ANT1c_C1976001	3.ANT1c_C1976001	108	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028683_SRR069119_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028683_SRR069119_2.fastq.gz	NA
3.ANT1d_71021	3.ANT1d_71021	109	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028684_SRR069120_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028684_SRR069120_2.fastq.gz	NA
3.ANT2a_MGJZ6	3.ANT2a_MGJZ6	110	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028767_SRR069203_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028767_SRR069203_2.fastq.gz	NA
3.ANT2b_MGJZ7	3.ANT2b_MGJZ7	111	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028768_SRR069204_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028768_SRR069204_2.fastq.gz	NA
3.ANT2c_MGJZ9	3.ANT2c_MGJZ9	112	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028769_SRR069205_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028769_SRR069205_2.fastq.gz	NA
3.ANT2d_MGJZ11	3.ANT2d_MGJZ11	113	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028764_SRR069200_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028764_SRR069200_2.fastq.gz	NA
3.ANT2e_MGJZ3	3.ANT2e_MGJZ3	114	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028766_SRR069202_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028766_SRR069202_2.fastq.gz	NA
4.ANT1a_MGJZ12	4.ANT1a_MGJZ12	115	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028765_SRR069201_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028765_SRR069201_2.fastq.gz	NA
0.PE4_A.1804	0.PE4_A.1804	116	4	SE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX1115719_SRR2124154.fastq.gz	NA	NA
0.PE4_5307.Gis	0.PE4_5307.Gis	117	4	SE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX1089900_SRR2094296.fastq.gz	NA	NA
0.PE2_C.359	0.PE2_C.359	118	4	SE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX1115725_SRR2124169.fastq.gz	NA	NA
0.PE2_C.590	0.PE2_C.590	119	4	SE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX1089898_SRR2094294.fastq.gz	NA	NA
0.PE2_C.666	0.PE2_C.666	120	4	SE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX1115756_SRR2124207.fastq.gz	NA	NA
0.PE4_I.3134	0.PE4_I.3134	121	4	SE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX1089899_SRR2094295.fastq.gz	NA	NA
0.PE2_C.291	0.PE2_C.291	122	4	SE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX1115736_SRR2124185.fastq.gz	NA	NA
0.PE5_I.3189	0.PE5_I.3189	123	4	SE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX1089578_SRR2093957.fastq.gz	NA	NA
0.PE2_C.267	0.PE2_C.267	124	4	SE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX1115723_SRR2124165.fastq.gz	NA	NA
0.PE2_C.537	0.PE2_C.537	125	4	SE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX1089891_SRR2094286.fastq.gz	NA	NA
0.PE4_A.1807	0.PE4_A.1807	126	4	SE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX1089902_SRR2094300.fastq.gz	NA	NA
0.PE2_C.197	0.PE2_C.197	127	4	SE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX1115720_SRR2124156.fastq.gz	NA	NA
0.PE4_A.513	0.PE4_A.513	128	4	SE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX1115724_SRR2124168.fastq.gz	NA	NA
0.PE2_C.290	0.PE2_C.290	129	4	SE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX1089904_SRR2094306.fastq.gz	NA	NA
0.PE5_I.2422a	0.PE5_I.2422a	130	4	SE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX1115757_SRR2124208.fastq.gz	NA	NA
0.PE2_C.346	0.PE2_C.346	131	4	SE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX1115737_SRR2124186.fastq.gz	NA	NA
0.PE5_I.2239	0.PE5_I.2239	132	4	SE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX1284335_SRR2511857.fastq.gz	NA	NA
0.PE2_C.235	0.PE2_C.235	133	4	SE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX1115722_SRR2124162.fastq.gz	NA	NA
0.PE4_I.3455	0.PE4_I.3455	134	4	SE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX1089906_SRR2094311.fastq.gz	NA	NA
YAC	YAC	1	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX1135284_SRR2147693_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX1135284_SRR2147693_2.fastq.gz	NA
0.PE2_C.235	0.PE2_C.235	134	4	SE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX1115722_SRR2124163.fastq.gz	NA	NA
0.PE2_C.197	0.PE2_C.197	128	4	SE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX1115720_SRR2124157.fastq.gz	NA	NA
0.PE2_C.537	0.PE2_C.537	126	4	SE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX1089891_SRR2094287.fastq.gz	NA	NA
0.PE2_C.267	0.PE2_C.267	125	4	SE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX1115723_SRR2124167.fastq.gz	NA	NA
0.PE4_A.1804	0.PE4_A.1804	117	4	SE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX1115719_SRR2124155.fastq.gz	NA	NA
Ypseudo_FDA_ARGOS_665	Ypseudo_FDA_ARGOS_665	1	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs_pseudotb/fastq/SRX5764141_SRR8984879_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs_pseudotb/fastq/SRX5764141_SRR8984879_2.fastq.gz	NA
