sample_name	isolation_period	species	data_repo	accession	publication_reference
3.ANT1b_CMCC71001	Modern	Y. pestis	SRA	SRR069173	Cui et al. (2013)
3.ANT1c_C1976001	Modern	Y. pestis	SRA	SRR069119	Cui et al. (2013)
3.ANT1d_71021	Modern	Y. pestis	SRA	SRR069120	Cui et al. (2013)
3.ANT2a_MGJZ6	Modern	Y. pestis	SRA	SRR069203	Cui et al. (2013)
3.ANT2b_MGJZ7	Modern	Y. pestis	SRA	SRR069204	Cui et al. (2013)
3.ANT2c_MGJZ9	Modern	Y. pestis	SRA	SRR069205	Cui et al. (2013)
3.ANT2d_MGJZ11	Modern	Y. pestis	SRA	SRR069200	Cui et al. (2013)
3.ANT2e_MGJZ3	Modern	Y. pestis	SRA	SRR069202	Cui et al. (2013)
4.ANT1a_MGJZ12	Modern	Y. pestis	SRA	SRR069201	Cui et al. (2013)
0.PE4_A.1804	Modern	Y. pestis	SRA	SRR2124154, SRR2124155	Kislichkina et al. (2015)
0.PE4_5307.Gis	Modern	Y. pestis	SRA	SRR2094296	Kislichkina et al. (2015)
0.PE2_C.359	Modern	Y. pestis	SRA	SRR2124169, SRR2124170	Kislichkina et al. (2015)
0.PE2_C.590	Modern	Y. pestis	SRA	SRR2094294	Kislichkina et al. (2015)
0.PE2_C.666	Modern	Y. pestis	SRA	SRR2124207	Kislichkina et al. (2015)
0.PE4_I.3134	Modern	Y. pestis	SRA	SRR2094295	Kislichkina et al. (2015)
0.PE2_C.291	Modern	Y. pestis	SRA	SRR2124185	Kislichkina et al. (2015)
0.PE5_I.3189	Modern	Y. pestis	SRA	SRR2093957	Kislichkina et al. (2015)
0.PE2_C.267	Modern	Y. pestis	SRA	SRR2124165, SRR2124167	Kislichkina et al. (2015)
0.PE2_C.537	Modern	Y. pestis	SRA	SRR2094286, SRR2094287	Kislichkina et al. (2015)
0.PE4_A.1807	Modern	Y. pestis	SRA	SRR2094300	Kislichkina et al. (2015)
0.PE2_C.197	Modern	Y. pestis	SRA	SRR2124156, SRR2124157	Kislichkina et al. (2015)
0.PE4_A.513	Modern	Y. pestis	SRA	SRR2124168	Kislichkina et al. (2015)
0.PE2_C.290	Modern	Y. pestis	SRA	SRR2094306	Kislichkina et al. (2015)
0.PE5_I.2422a	Modern	Y. pestis	SRA	SRR2124208	Kislichkina et al. (2015)
0.PE2_C.346	Modern	Y. pestis	SRA	SRR2124186	Kislichkina et al. (2015)
0.PE5_I.2239	Modern	Y. pestis	SRA	SRR2511857	Kislichkina et al. (2015)
0.PE2_C.235	Modern	Y. pestis	SRA	SRR2124162, SRR2124163	Kislichkina et al. (2015)
0.PE4_I.3455	Modern	Y. pestis	SRA	SRR2094311	Kislichkina et al. (2015)
Ypseudo_FDA_ARGOS_665	Modern	Y. pseudotuberculosis	SRA	SRR8984879	Sichtig et al. (2019)
YAC	Modern	Y. pseudotuberculosis	SRA	SRR2147693	Johnson et al. (2015)
